incident parkland (1),incident mass shooting (1),guns ar 15,incident parkland (2),government trump,culture national identity,meta opinions,gun control national identity,meta meta,gun control bans,incident video,gun control legal,guns ammunition,gun control second ammendment (1),guns assault weapons (1),meta meta,incident nyc,gun control background check,gun control second ammendment (2),gun control nra,guns assault weapons (2),guns sales,culture government,incident mass shooting (2),paper,aid,max_top,general
0.014141367,0,0,0,0,0.228635808,0.033138321,0.059851688,0.015191998,0.00757698,0.043829695,0,0,0.016128149,0,0,0,0,0.036317305,0.12384295,0.007446234,0,0.001381723,0.008413521,,,culture national identity,culture
0,0,0.000186334,0,0,0.137437368,0.01705539,0.119664138,0,0.002388407,0.011387321,0,0.041795801,0.033957358,0,0,0,0,0,0,0,0.015779216,0,0.024363023,npr,npr66,culture national identity,culture
0.005276009,0.00278506,0.004888461,0.141902106,0.007819804,0.145920788,0.080853972,0.066296345,0,0.056845038,0,0,0.004174811,0,0.040274522,0.008275991,0,0,0,0.069528317,0,0,0.001504332,0.003583431,,,culture national identity,culture
0,0,0,0.031955165,0,0.187532596,0,0.061600526,0.047039883,0,0.010261077,0.014959755,0.000110764,0,0.033915974,0,0.003867027,0.048758268,0,0,0,0,0,0,npr,npr114,culture national identity,culture
0,0,0,0.041207983,0,0.124289436,0,0.123350017,0,0,0,0.020138339,0,0,0,0.000415564,0,0,0,0,0.010917543,0.008043958,0,0,npr,npr116,culture national identity,culture
0,0.001966654,0,0,0.010048793,0.22203381,0.005069639,0.080402173,0,0,0,0.024420081,0.006415474,0,0,0,0.00306889,0,0.01896148,0,0.002522691,0,0,0,npr,npr120,culture national identity,culture
0,0.05181367,0,0,0,0.005088975,0,0,0,0,0.019800541,0.032916032,0.00778054,0,0,0.093871628,0.000788755,0,0,0,0.016592131,0,0.129190174,0,npr,npr121,culture government,culture
0,0,0,0,0.011893319,0.159538986,0,0,0,0,0.015016096,0.009061298,0,0.007173318,0,0.001750562,0,0.07421929,0,0.010085115,0.080413254,0,0,0,npr,npr141,culture national identity,culture
0,0,0,0,0,0.003652203,0,0,0,0,0.035588581,0.010558141,0,0,0,0,0,0.081947578,0.003204917,0.007932342,0.118151025,0,0.162760142,0,npr,npr144,culture government,culture
0,0,0.03428076,0,0,0.208808337,0,0.003883033,0,0,0,0.156002259,0,0,0,0,0.000725944,0,0,0,0,0,0,0,npr,npr147,culture national identity,culture
0,0,0,0,0,0.191602962,0,0,0,0,0.003953176,0.066404584,0,0,0,0,0,0.064232993,0,0,0.000482051,0,0,0,,,culture national identity,culture
0,0,0,0.038311149,0,0.174510083,0.01422019,0.064455876,0,0,0.031006237,0.009500344,0,0,0,0,0,0,0,0.097934407,0.012827074,0,0,0,npr,npr166,culture national identity,culture
0.028655533,0,0.076420208,0,0.018852844,0.112346636,0.040184824,0.057860171,0.038394795,0,0.004891363,0,0.000296059,0,0.019784915,0.021205534,0,0,0,0.055637294,0.022614814,0,0.023063075,0.013596084,npr,npr179,culture national identity,culture
0,0.000737315,0,0,0,0.232226882,0.032592068,0.037526251,0.000153858,0,0.009733746,0.024728172,0,0,0,0,0.010447226,0,0,0,0.003581964,0,0.000645039,0,msnbc,msnbc2,culture national identity,culture
0.005414199,0,0,0,0,0.258093483,0,0,0,0,0,0.027742523,0.001403356,0,0,0,0.080989777,0,0,0,0.011045694,0,0,0,msnbc,msnbc3,culture national identity,culture
0,0,0.02533901,0,0,0.159639452,0,0,0,0,0,0,0.00292771,0,0,0,0,0,0,0,0.025312813,0,0.032362386,0.014426666,msnbc,msnbc4,culture national identity,culture
0,0,0,0.025910221,0.034300221,0.229472966,0,0,0,0.014592973,0,0.004797669,0,0,0.018508812,0,0.000327366,0.001536737,0,0.140143884,0,0,0,0,,,culture national identity,culture
0,0,0,0,0,0.05710761,0.009381545,0,0,0.015028658,0.016872088,0,0,0.005964676,0.009279913,0,0,0.050017601,0.026943282,0.002085643,0.004695555,0,0.152659825,0,msnbc,msnbc23,culture government,culture
0,0,0,0,0,0.010763702,0,0,0,0,0,0.132221324,0,0,0,0,0.001647543,0,0,0,0,0,0.217969935,0,msnbc,msnbc25,culture government,culture
0,0,0,0.005436246,0.007934243,0.187668731,0.046341476,0.045645928,0.012067632,0.012178051,0.000242324,0,0,0.035457911,0.026659194,0,0.015700561,0.036379677,0.001552203,0.175504907,0,0,0.006900016,0,msnbc,msnbc28,culture national identity,culture
0,0,0,0,0.012815251,0.206535748,0.013352011,0.142367831,0,0,0,0.001908207,0,0,0,0.000147134,0,0,0,0,0.004758122,0.001625698,0,0,,,culture national identity,culture
0,0,0.000619636,0.098648381,0.00524861,0.105579154,0.016400859,0.061620875,0.015747404,0.009461356,0,0.033418668,0,0,0,5.29E-05,0,0,0,0,0.001707281,0,0.022404063,0.021157048,msnbc,msnbc39,culture national identity,culture
0,0,0,0.048899913,0,0.224283482,0.008170023,0.092431225,0,0,0,0.004917833,0,0,0,0,0,0,0,0.00726826,0.007222804,0,0,0,msnbc,msnbc42,culture national identity,culture
0,0,0,0,0,0.231756654,0,0.108605523,0,0,0,0.011631262,0,0,0,2.33E-05,0,0.025810977,0,0,0.006389101,0,0,0,,,culture national identity,culture
0,0,0,0,0.003718365,0.223857386,0,0,0,0,0,0.039898829,0,0,0,0.000633673,0.004061861,0.025526529,0,0,0.018372082,0,0,0,,,culture national identity,culture
0,0,0,0,0.000601344,0.104238649,0.006880931,0,0,0,0,0.049961738,0.012848691,0.003920581,0.017688652,0.000423621,0.022150937,0,0,0,0.023099234,0.005299938,0.022735053,0,msnbc,msnbc55,culture national identity,culture
0,0,0,0,0,0.271960277,0,0,0,0,0,0.025231656,0,0,0,0,0.009420857,0,0.003768872,0,0.009899333,0,0.012001012,0,msnbc,msnbc56,culture national identity,culture
0.066469466,0.000158727,0,0,0,0.243943754,0,0,0,0,0,0.029269368,0,0,0.002659779,0,0.004231516,0,0,0,0.004382277,0,0,0.002081634,msnbc,msnbc57,culture national identity,culture
0,0,0,0,0,0.184569871,0,0,0.000771162,0,0,0.03042485,0,0,0,0,0.028723171,0.099880647,0,0,0.004385015,0,0,0,msnbc,msnbc60,culture national identity,culture
0,0,0,0,0.0572175,0.238471086,0.001715956,0,0,0.011422208,0,0.016651881,0,0,0,0,0.003059521,0.03411835,0,0,0.002292506,0,0.011480926,0,msnbc,msnbc62,culture national identity,culture
0,0,0,0,0,0.231326868,0,0,0,0,0,0.1288898,0,0,0,0,0,0,0.088106401,0,0.007598032,0,0,0,msnbc,msnbc80,culture national identity,culture
0,0,0,0.041091746,0.04448476,0.090106262,0.003240591,0.055803426,0,0,0.013993234,0.007977627,0,0.006865336,0,0,0,0.022406417,0,0.021056216,0.005280975,0,0.010254336,0,msnbc,msnbc90,culture national identity,culture
0,0.003426096,0.126676221,0,0.008661982,0,0.00662956,0.05674764,0.036845942,0.015376405,0.070846356,0.001787171,0.027687675,0,0.004594418,0,0,0,0.00054135,0.032538928,0,0,0.197618874,0.003973229,,,culture government,culture
0,0.039535169,0,0,0,0,0,0.024029031,0.012389552,0,0.019364674,0.030955667,0.079258408,0.023149126,0.009406984,0,0.005155749,0,0.016613985,0,0.036279972,0,0.12747315,0.09044934,msnbc,msnbc165,culture government,culture
0.063257226,0,0.027727424,0.031948115,0.004245724,0.010618178,0.034004361,0.008667383,0.036212727,0.00031337,0.019644994,0.005203034,0,0.020551386,0.080468159,0,0.008533572,0.033410063,0.000176916,0.010821895,0.08075478,0,0.094853991,0.032372531,msnbc,msnbc179,culture government,culture
0,0.001620539,0,0,0.003834669,0.097975855,0.058201104,0,0,0,0,0.018389659,0,0.00149841,0.097481938,0,0.002721861,0.089266048,0,0.025302141,0,0.018330914,0,0.019362344,blaze,blaze1,culture national identity,culture
0,0.025319411,0,0.013734591,0,0.146309319,0.034880158,0.02203822,0.004147205,0.02793787,0.00096699,0.13913315,0,0.013919516,0.018525694,0,0.019602297,0,0.015008555,0,0,0,0.019896429,0.050590295,blaze,blaze5,culture national identity,culture
0.022233451,0,0,0,0,0.264549899,0.013128838,0,0,0,0,0,0,0.001327279,0,0.00939339,0,0.054272983,0.004360087,0.004613766,0,0,0.0173014,0.00674288,blaze,blaze54,culture national identity,culture
0,0,0.009872213,0.024381454,0.028746407,0.169275713,0,0.059835983,0,0,0,0,0.038057542,0.081445893,0.020387642,0,0,0.05873813,0,0.013345392,0,0.010671825,0,0,blaze,blaze86,culture national identity,culture
0.078539595,0,0.012007041,0.051582081,0.030943491,0.16245562,0,0.052240713,0,0,0,0,0.033216791,0.065000317,0,0,0,0.084750786,0,0.015660871,0,0,0,0,blaze,blaze93,culture national identity,culture
0,0,0,0.01368898,0.026810722,0,0,0,0,0,0.021487619,0,0.034881761,0,0.038612825,0,0,0,0.000235894,0.009359824,0.012419346,0,0.201927198,0.007423942,blaze,blaze100,culture government,culture
0.010037487,0.004265059,0,0.047052517,0,0.029974424,0.012355037,0.059779559,0.000665082,0.043930589,0,0,0,0,0.003462888,0.040332907,0,0.025673552,0,0.000175178,0.081062362,0,0.117266934,0.00704211,blaze,blaze106,culture government,culture
0,0.074249273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03784892,0,0.315659556,0,blaze,blaze113,culture government,culture
0.042615858,0.000784196,0,0,0,0.105013152,0,0,0,0,0,0.028848631,0.004275544,0.004091969,0.008108338,0,0.012855484,0.028501361,0.01607978,0.004426541,0,0,0.133992652,0,,,culture government,culture
0.035345558,0,0.127266545,0,0,0,0,0.018823433,0,0.001894803,0,0,0.050118745,0,0.049093718,0,0,0,0.011304216,0.003652715,0.008858231,0.003925206,0.169108492,0,blaze,blaze131,culture government,culture
0,0.000448782,0.016180517,0,0.008325922,0.137828872,0.002868243,0,0,0,0,0.002186964,0.009974442,0.026534793,0.00350261,0,0,0.024962661,0.021651759,0.060190398,0.006504488,0.033820336,0.004072921,0.012079976,blaze,blaze135,culture national identity,culture
0,0.004519339,0,0,0,0,0.023182751,0,0,0,0.02969649,0.004956423,0.031525578,0.011307565,0.004109234,0,0.047046379,0.005475947,0.001419474,0,0.018329386,0.009525619,0.047754563,0.000558545,blaze,blaze163,culture government,culture
0,0,0.01369062,0,0,0.209674158,0.024226279,0,0.00281152,0,0.007649181,0,0.001809355,0.004458348,0.035839812,0,0,0,0,0.056853793,0,0.016354327,0,0,blaze,blaze183,culture national identity,culture
0,0.001127537,0,0.01971126,0.030658085,0.19536915,0,0.045676013,0,0,0,0,0.002188077,0,0.012664527,0,0,0.118608929,0,0,0,0,0.000424248,0,nyt,nyt8,culture national identity,culture
0,0,0,0,0.039220052,0,0,0,0,0,0,0,0,0.003043825,0,0,0.06465614,0.003584319,0,0.00303115,0,0.001895112,0.260358907,0,nyt,nyt27,culture government,culture
0,0,0,0,0.011160623,0.187930626,0,0.079681375,0,0.015250166,0.016933099,0,0,0,0.027389477,0.009785306,0,0.008652178,0,0.184710864,0,0,0,0,nyt,nyt60,culture national identity,culture
0,0,0.001326079,0.02983489,0,0.198596169,0.025154916,0.057469551,0,0.012984355,0.012439729,0,0.010356082,0.031417982,0.045764764,0.012563848,0.005147586,0.078407108,0,0.133066631,0.014013632,0,0,0,nyt,nyt61,culture national identity,culture
0.016422828,0.00189805,0.01148637,0.043879672,0.021551653,0.118242047,0,0.029253451,0.039254731,0.004253885,0.005459141,0,0.034962483,0.041520243,0.082375699,0.006651775,0.027047654,0.108509633,0.009601555,0.016458461,0.010022683,0,0.000199461,0,nyt,nyt64,culture national identity,culture
0.008425554,0.001014483,0,0.009068719,0,0,0.037957675,0,0,0,0.049333191,0,0,0,0.050139493,0.004397006,0.037959951,0.002078343,0,0,0.124452495,0.002103953,0.178629165,0,nyt,nyt91,culture government,culture
0.00639135,0.036424175,0,0.061509299,0,0,0.011048595,0,0,0.013687118,0,0.007165649,0,0,0.027780373,0,0,0,0.002657856,0,0.013082441,0,0.261503262,0.045090353,nyt,nyt92,culture government,culture
0,0.043616702,0.014756185,0.063088622,0.01252967,0.045200617,0,0.02305226,0.039257484,0.004195721,0.000642661,0.026263034,0.002197238,0,0.037550944,0.023293059,0,0,0,0.045040247,0.014694664,0.067683892,0.122543818,0,nyt,nyt113,culture government,culture
0.023065163,0,0,0,0,0,0.030391068,0,0,0,0.023362766,0,0.014691373,0.005618035,0.053652002,0,0.021558016,0.01029449,0.002405288,0,0.021856457,0,0.237737674,0.001798821,nyt,nyt139,culture government,culture
0,0.038102874,0.02009361,0.031783439,0,0,0.059229954,0.014826365,0.005716903,0.021185514,0,0.008463611,0.029447078,0.005939935,0.066920941,0.012232734,0.066359896,0,0,0,0.020345845,0.000583433,0.077604542,0.060164369,nyt,nyt158,culture government,culture
0.057179416,0,0.02136052,0.055743217,0.00270141,0.192634133,0.013238684,0.025688216,0.022712502,0,0.001702191,0,0.040722804,0.037391737,0.058876806,0.014336905,0.023892423,0.048289814,0.022248384,0.048216171,0.010266495,0,0,0.011394749,nyt,nyt163,culture national identity,culture
0.039370097,0.000865924,0.002928534,0.057074798,0,0.193618504,0.016337958,0.037262179,0.011751113,0.001097511,0,0,0.003420254,0.038234701,0.036306575,0.016212515,0.002392477,0.138002104,0.000459909,0.08254894,0.017821284,0,0.008404366,0,nyt,nyt165,culture national identity,culture
0,0,0,0.089377347,0.009386836,0.14322868,0.02105346,0.123305753,0,0.008505225,0,0,0.028263354,0,0.054560852,0.011919274,0.010489896,0.014561028,0,0.078381056,0,0.055837829,0.010876972,0,fox,fox23,culture national identity,culture
0,0,0,0,0,0.01323299,0.026878243,0.061506827,0,0.010723636,0,0.014538428,0.006038584,0.009812572,0.066145882,0.049384103,0,0.01139697,0.039925041,0.00252994,0.042306831,0.009758696,0.101714004,0.055802727,fox,fox24,culture government,culture
0.001734519,0,0.013445726,0.047276394,0.020598564,0.108691189,0.02841609,0.070985157,0.064361444,0,0,0,0,0.049069387,0.027437907,0,0.01469403,0.083761667,0,0.097235829,0.03980476,0,0.00574366,0.001483804,fox,fox27,culture national identity,culture
0.006735467,0,0,0,0,0.191429526,0,0.038271005,0,0,0.098447715,0,0,0.110538385,0,0.027754432,0.019321915,0,0,0.115500684,0.000799124,0,0,0.014652623,fox,fox32,culture national identity,culture
0.020036821,0,0,8.23E-05,0.003561157,0.140289501,0.069109438,0.023720496,0.002515066,0.020240218,0.108061463,0,0.075926267,0.041494889,0.025453704,0.010304558,0,0.034415833,0.004765688,0.010161117,0,0,0.007197673,0,fox,fox47,culture national identity,culture
0.021013563,0,0.032304138,0,0,0.001415515,0.009870856,0.124113225,0.04331197,0,0.086189346,0.018012685,0,0,0.010327559,0.021187896,0,0,0,0.057098745,0.033361817,0,0.150313904,0,fox,fox49,culture government,culture
0.010088514,0,0,0,0,0.231118644,0.035656491,0,0.000457895,0.038015899,0.01539265,0,0,0,0.078643186,0.009549456,0,0,0,0,0.007461236,0.035134933,0.002334761,0,fox,fox67,culture national identity,culture
0.05458005,0,0,0.002676295,0,0.102542677,0.088252211,0.065356127,0.039256185,0,0.011612172,0,0,0.001148469,0.02815251,0,0,0.06210959,0,0,0.005385057,0,0.005669423,0,fox,fox78,culture national identity,culture
0,0,0,0.002537101,0,0.143938269,0.053256101,0,0,0.010134521,0.070412736,0,0,0,0.03489659,0.042509209,0,0.036070149,0,0,0.143348252,0,0,0,fox,fox103,culture national identity,culture
0.009653351,0,0,0.019674493,0.007890738,0.22594091,0,0.004646456,0,0,0.033532822,0,0.018283571,0.098545891,0.005601376,0,0,0.029756537,0.014676095,0.091572888,0,0,0,0,fox,fox117,culture national identity,culture
0,0,0,0,0.009899996,0.094676881,0.052271677,0.08746725,0,0.012880609,0.059100112,0,0,0,0.037624463,0,0,0.061033094,0.006014413,0.091456816,0,0,0.012296281,0.008719824,fox,fox122,culture national identity,culture
0.073611864,0.076557481,0.015461538,0.05018047,0.004437579,0,0.014129079,0.091188083,0.034567238,0,0.046460477,0.003672802,0.0148229,0,0,0,0,0,0,0.002860536,0.083739924,0.007401726,0.098432036,0.034331824,fox,fox128,culture government,culture
0,0.001144571,0.004893856,0.059153221,0,0.059532525,0.041016705,0.040595729,0,0.021268485,0.109466312,0,0.00329507,0,0.000701345,0,0,0,0.028933254,0.034783622,0,0,0.125702482,0.036723493,,,culture government,culture
0.027096123,0.016881307,0.001658227,0,0.007076004,0,0.04395314,0.001362357,0.023863737,0.02555267,0,0.004279969,0.019599103,0,0.01282347,0.009748269,0.010657658,0,0.007759308,0,0.004173271,0.001620568,0.299523679,0.029249631,fox,fox173,culture government,culture
0,0,0,0,0,0.153080609,0.013843903,0.071433895,0,0.022295303,0.009923805,0,0,0,0.111962976,0.048193603,0.040769834,0,0,0,0,0,0,0,fox,fox182,culture national identity,culture
0.005723496,0.015218058,0,0.018337369,0,0.170709882,0.014981968,0.062643798,0.054699047,0,0,0.015191387,0.015566869,0.041643577,0.017010948,0.026500478,0,0.086347501,0.087442962,0,0.014093338,0,0,0,breitbart,breitbart38,culture national identity,culture
0.042563214,0.039861158,0.043146236,0.014993152,0.021931889,0.112273368,0.108533036,0.041521861,0,0.009937783,0.003607608,0,0,0.003498335,0,0.019347888,0.017382875,0,0,0,0,0.005623684,0,0.000830346,breitbart,breitbart65,culture national identity,culture
0.001640484,0,0,0,0,0.202926584,0.010780982,0.047870119,0.051323001,0,0.029994366,0,0.026148311,0.001750396,0.030509428,0,0,0,0.034088651,0.146730465,0.010996468,0,0.013129153,0,,,culture national identity,culture
0.004000104,0,0.015502893,0.009484141,0.026175503,0.15943589,0.025082056,0.084691307,0.016285187,0,0,0,0,0.118874952,0.026388751,0,0,0.153678432,0,0.035627481,0.021437246,0,0.004282809,0,breitbart,breitbart92,culture national identity,culture
0.009041814,0,0.011219328,0.019856372,0,0.195836629,0.02681095,0.06489387,0.006589133,0,0.02618206,0,0,0.040747913,0.071200523,0,0.008072186,0.134032823,0.003503424,0.041472832,0,0,0,0,huffpo,huffpo47,culture national identity,culture
0.029510348,0.01465526,0.00551473,0.040717122,0,0.174940309,0,0.061996684,0.03281524,0,0,0,0.043760109,0.081228252,0.014694552,0.015012605,0,0.034078202,0,0,0.007746395,0,0.013440874,0,,,culture national identity,culture
0,0.003944596,0.003780397,0.100151162,0,0.107354294,0.004412155,0.057570266,0,0.069051934,0.061482237,0.008478844,0,0,0,0.007149672,0.025581636,0,0,0.005882148,0.003226036,0.049348081,0,0.034102424,huffpo,huffpo56,culture national identity,culture
0.00177003,0.085300114,0,0,0,0,0,0,0,0.02497729,0.019388098,0.021098902,0.05706996,0,0.070922244,0.017185161,0,0,0,0,0,0,0.259334233,0.015170643,huffpo,huffpo61,culture government,culture
0.033077475,0.081835946,0.021713146,0.040960474,0,0,0.003231351,0,0.035168121,0,0,0,0.081737729,0,0,0,0,0.002284541,0,0,0.045080744,0,0.087011082,0.057029075,huffpo,huffpo66,culture government,culture
0,0.132576442,0,0,0,0.000584412,0,0,0,0,0,0.052373713,0,0,0.025832532,0,0,0,0,0,0.032023984,0,0.240730481,0.027524846,huffpo,huffpo81,culture government,culture
0,0,0,0,0.021571707,0.216149131,0,0.00271347,0.002103712,0,0,0,0.006826167,0,0,0,0,0,0,0,0,0,0,0.003385907,huffpo,huffpo83,culture national identity,culture
0.005201272,0,0,0,0,0.206731094,0.017802972,0,0,0,0.080109768,0.036761357,0,0.007679282,0,0,0.032140002,0,0,0,0,0.003416729,0.057287029,0.012036361,huffpo,huffpo85,culture national identity,culture
0,0.043974965,0,0.000763259,0,0.078668543,0.005529016,0.005335108,0.0218656,0.070006451,0.078190441,0.055665757,0,0,0,0,0,0.005309554,0,0,0,0,0.047483073,0.064769153,,,culture national identity,culture
0.003109628,0.02052997,0,0.094603579,0.003089903,0.188647145,0,0,0,0,0.063578682,0.066549611,0.027382916,0,0.025260147,0.011294289,0,0,0,0,0,0.002920709,0.003244497,0,,,culture national identity,culture
0,0,0,0.031855945,0.011376887,0.171050858,0.008825515,0.038514696,0,0,0.139956681,0,0,0,0.008049344,0.001657443,0,0,0,0.052304499,0,0.040917403,0,0.038278493,huffpo,huffpo102,culture national identity,culture
0,0,0,0.006726523,0,0.220231987,0.01083674,0,0,0.022838763,0.009480637,0,0,0,0,0,0,0,0,0,0,0,0,0.022037879,huffpo,huffpo140,culture national identity,culture
0.035547616,0,0,0,0.045324887,0,0.053850979,0,0,0.020415484,0,0,0,0.015076448,0.042640572,0,0.013953172,0,0,0,0.045879282,0.012122921,0.208928602,0.000670447,nation,nation0,culture government,culture
0.010515072,0.000302146,0,0,0,0.24230147,0.070212293,0.000487989,0,0.028466064,0.009991291,0,0,0.001639004,0.028230307,0.032923919,0,0,0,0,0,0.008460514,0.002262859,0,,,culture national identity,culture
0.001412799,0.047852976,0,0.017248922,0,0.076413947,0,0.030829456,0,0.040799852,0.039989315,0.039032598,0,0,0,0,0.061703276,0,0,0.001585049,0,0,0.258536298,0.030979952,nation,nation3,culture government,culture
0.015559918,0.007801714,0,0,0,0.003171274,0.009333882,0,0,0.001342814,0,0.052137642,0.009785722,0.022913576,0.087772715,0.022528393,0.01251081,0,0.004362133,0.007906449,0.028990675,0.016685781,0.098886043,0,nation,nation4,culture government,culture
0.025777784,0,0,0,0,0.161243299,0.021460409,0.003842847,0,0.008667089,0.022627094,0.060189904,0,0,0.069283245,0,0,0,0.004001129,0,0,0,0.069114889,0.050508434,,,culture national identity,culture
0,0.081652433,0,0.013109299,0.012093412,0.111816533,0,0,0.057489868,0,0,0.018774506,0,0,0.098864639,0,0.002973596,0,0,0,0,0,0.004370023,0,nation,nation10,culture national identity,culture
0.002113035,0,0,0,0,0.162058997,0.003788806,0.038874795,0,0.003775202,0.039745617,0,0,0.000439622,0.003795193,0.003651661,0,0,0,0,0,0,0.232192464,0.010030995,nation,nation26,culture government,culture
0.042321626,0,0,0.015699991,0.022908917,0.171844915,0.006615227,0.058820354,0,0.010476191,0.019426992,0,0.024073143,0.147126313,0.045882997,0.001419756,0,0.091197643,0.007788376,0.060154548,0,0,0,0,,,culture national identity,culture
0.078539595,0,0.012007041,0.051582081,0.030943491,0.16245562,0,0.052240713,0,0,0,0,0.033216791,0.065000317,0,0,0,0.084750786,0,0.015660871,0,0,0,0,,,culture national identity,culture
0,0,0,0.01368898,0.026810722,0,0,0,0,0,0.021487619,0,0.034881761,0,0.038612825,0,0,0,0.000235894,0.009359824,0.012419346,0,0.201927198,0.007423942,nation,nation43,culture government,culture
0.010037487,0.004265059,0,0.047052517,0,0.029974424,0.012355037,0.059779559,0.000665082,0.043930589,0,0,0,0,0.003462888,0.040332907,0,0.025673552,0,0.000175178,0.081062362,0,0.117266934,0.00704211,nation,nation49,culture government,culture
0,0.074249273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03784892,0,0.315659556,0,nation,nation56,culture government,culture
0.05970974,0,0,0,0,0.137044117,0.00035314,0,0,0,0,0,0,0.001041844,0,0,0.080706486,0.049377951,0,0.018920471,0,0,0,0,nation,nation57,culture national identity,culture
0.042615858,0.000784196,0,0,0,0.105013152,0,0,0,0,0,0.028848631,0.004275544,0.004091969,0.008108338,0,0.012855484,0.028501361,0.01607978,0.004426541,0,0,0.133992652,0,nation,nation66,culture government,culture
0.035345558,0,0.127266545,0,0,0,0,0.018823433,0,0.001894803,0,0,0.050118745,0,0.049093718,0,0,0,0.011304216,0.003652715,0.008858231,0.003925206,0.169108492,0,nation,nation73,culture government,culture
0,0.000448782,0.016180517,0,0.008325922,0.137828872,0.002868243,0,0,0,0,0.002186964,0.009974442,0.026534793,0.00350261,0,0,0.024962661,0.021651759,0.060190398,0.006504488,0.033820336,0.004072921,0.012079976,nation,nation78,culture national identity,culture
0,0,0,0,0,0.011385714,0,0,0,0.024432968,0,0,0,0,0.103652537,0,0,0,0,0.039989689,0,0.016421122,0.111367445,0,inforwars,inforwars16,culture government,culture
0,0,0.01369062,0,0,0.209674158,0.024226279,0,0.00281152,0,0.007649181,0,0.001809355,0.004458348,0.035839812,0,0,0,0,0.056853793,0,0.016354327,0,0,inforwars,inforwars21,culture national identity,culture
