	ALABAMA	ALASKA	ARIZONA	ARKANSAS	CALIFORNIA	COLORADO	CONNECTICUT	DELAWARE	DISTRICT OF COLUMBIA	FLORIDA	GEORGIA	GUAM & NORTHERN MARIANA ISLANDS	HAWAII	IDAHO	ILLINOIS	INDIANA	IOWA	KANSAS	KENTUCKY	LOUISIANA	MAINE	MARYLAND	MASSACHUSETTS	MICHIGAN	MINNESOTA	MISSISSIPPI	MISSOURI	MONTANA	NEBRASKA	NEVADA	NEW HAMPSHIRE	NEW JERSEY	NEW MEXICO	NEW YORK	NORTH CAROLINA	NORTH DAKOTA	OHIO	OKLAHOMA	OREGON	PENNSYLVANIA	PUERTO RICO	RHODE ISLAND	SOUTH CAROLINA	SOUTH DAKOTA	TENNESSEE	TEXAS	US VIRGIN ISLANDS	UTAH	VERMONT	VIRGINIA	WASHINGTON	WEST VIRGINIA	WISCONSIN	WYOMING	TOTAL
SIMPLE ASSAULT	22	9	384	11	612	42	5	3	9	143	115	0	0	6	17	38	7	7	51	224	2	329	4	75	7	59	59	3	13	38	4	52	14	159	273	6	129	9	48	220	0	5	42	3	419	359	6	11	2	38	106	2	34	1	"4,236"
BURGLARY	93	14	225	5	275	67	2	35	16	287	188	1	0	26	112	64	21	30	53	183	1	92	3	46	38	74	45	4	23	16	2	3	40	40	213	3	117	14	50	152	0	1	52	3	118	417	1	26	0	67	116	11	30	6	"3,521"
TRAFFIC OFFENSE	58	42	144	2	514	156	5	2	1	265	487	0	0	24	30	99	9	17	7	45	1	51	1	23	16	56	65	1	6	61	1	7	72	11	90	7	61	22	77	105	9	0	36	7	39	191	0	50	1	89	147	11	21	4	"3,246"
FIRING WEAPON	36	13	163	6	431	33	11	6	2	183	103	0	0	11	91	38	9	56	29	79	0	53	9	43	53	29	56	0	15	73	0	0	48	83	125	5	105	5	54	135	0	4	30	1	13	177	1	7	0	103	42	19	84	3	"2,675"
SUICIDE - ATTEMPTED	14	18	98	6	120	29	1	7	1	234	63	0	0	6	90	73	9	14	9	49	2	76	0	9	41	27	91	2	18	11	0	11	35	8	78	2	62	10	40	66	0	1	40	0	41	209	0	41	0	81	44	4	56	5	"1,952"
WEAPONS TRAFFICKING	8	1	42	4	90	8	2	0	0	23	36	1	0	17	32	31	120	139	2	0	0	32	29	137	5	0	1	4	1	34	1	43	0	81	14	3	18	1	82	9	38	0	3	0	1	177	4	0	2	88	4	1	1	0	"1,370"
HOMICIDE - ATTEMPTED	33	0	7	6	147	56	1	16	4	123	9	0	0	2	82	27	9	14	13	110	2	39	12	70	10	4	6	6	2	13	1	32	1	2	40	5	13	4	52	46	0	0	64	0	28	23	0	7	1	25	6	8	17	1	"1,199"
SELLING WEAPON	12	3	13	1	89	3	3	3	0	311	79	0	0	27	33	7	0	3	13	1	0	6	17	5	11	0	11	0	3	0	0	11	0	160	72	0	6	0	54	14	0	1	24	0	0	123	0	0	0	11	2	26	1	0	"1,159"
PUBLIC PEACE	9	10	90	0	152	14	0	0	0	101	86	0	0	0	41	12	16	3	0	8	1	12	6	4	4	20	11	1	1	1	1	23	3	20	55	1	17	0	25	15	1	2	19	0	1	174	0	3	2	15	34	6	100	1	"1,121"
CARRYING PROHIBITED WEAPON	10	0	9	22	219	11	2	1	0	49	47	0	0	4	4	7	2	0	2	24	0	10	7	3	36	1	3	1	9	0	0	5	7	106	7	1	15	3	3	25	3	0	14	0	2	215	0	3	0	7	39	2	9	0	949
OBSTRUCTION OF JUSTICE	6	8	15	0	594	7	0	1	0	24	34	0	0	2	8	2	0	0	1	11	0	1	0	35	0	0	1	2	1	1	0	6	1	17	10	1	11	1	6	9	0	0	2	0	5	5	0	3	0	27	2	0	3	0	863
THREAT	1	0	15	4	366	0	1	4	0	3	36	0	1	1	4	1	0	0	8	23	1	4	1	0	10	5	14	0	28	6	1	12	6	6	10	5	33	0	0	121	0	0	0	0	14	45	0	0	2	1	5	0	0	0	798
OBSRUCTION OF THE POLICE	5	0	59	0	62	3	1	1	0	39	99	0	0	2	32	9	1	133	1	27	0	3	1	4	4	4	42	0	5	3	1	4	7	24	28	0	17	2	1	11	0	0	2	0	2	8	0	0	0	5	7	0	9	0	668
CRIMES AGAINST PERSON	22	1	111	1	201	13	2	0	0	3	29	0	1	1	40	2	0	0	1	5	1	3	0	1	2	0	2	2	3	1	1	21	3	22	44	0	20	0	9	13	0	0	1	0	3	13	0	1	0	10	7	3	9	1	629
SEX CRIMES	13	2	20	1	78	13	1	4	4	25	20	0	0	2	16	39	2	3	1	11	1	54	1	14	3	8	11	0	1	3	1	5	1	3	15	0	34	0	4	12	0	0	4	0	72	24	0	4	0	12	16	6	6	0	570
NONE PROVIDED	0	1	1	0	49	1	0	0	0	2	10	0	0	0	5	6	2	0	2	0	0	2	0	1	0	2	2	0	0	3	0	0	0	36	2	0	2	0	0	372	8	0	0	1	19	12	0	0	1	4	11	1	0	1	559
FRAUD	5	17	79	4	79	6	2	0	0	32	38	0	0	2	7	7	6	1	7	1	0	5	1	13	0	3	6	0	0	8	0	2	2	6	13	0	23	2	42	6	2	0	2	0	21	36	0	3	0	6	24	1	0	0	520
KIDNAPPING	0	0	16	0	53	7	0	1	1	32	14	0	0	2	7	3	3	12	5	30	0	4	1	14	7	5	9	0	1	2	0	1	8	2	21	0	18	4	23	3	0	0	11	0	10	30	0	1	0	18	6	0	8	0	393
PUBLIC ORDER CRIMES	20	1	9	0	35	3	0	0	0	5	56	0	0	2	2	2	1	2	2	1	0	5	0	3	2	8	2	0	0	0	0	0	60	1	22	0	62	0	6	3	0	1	0	1	0	11	0	0	0	9	3	2	27	0	369
MONEY LAUNDERING	0	0	30	0	5	1	0	0	0	3	1	0	0	4	2	2	1	1	0	1	0	45	0	0	1	0	2	0	0	0	0	0	0	37	4	0	0	0	11	7	1	0	2	0	4	2	0	2	0	138	9	0	0	0	316
PROPERTY DAMAGE	1	2	36	0	19	2	0	0	0	8	14	0	0	0	3	3	5	0	0	10	1	69	1	7	8	2	4	1	1	0	1	0	4	3	23	0	6	0	4	6	0	0	1	0	27	7	0	4	0	9	6	3	1	0	302
IMMIGRATION	9	0	39	3	4	1	0	0	1	4	18	0	0	0	1	2	1	0	1	2	0	0	0	3	0	1	3	1	0	0	0	3	6	6	4	1	0	15	0	0	2	0	1	0	0	48	0	9	0	6	2	1	2	0	200
ALTERING IDENTIFICATION ON WEAPON	14	0	1	1	73	0	1	2	0	8	6	0	0	1	12	7	0	2	0	3	1	3	4	6	0	0	3	1	2	0	0	0	2	2	11	0	2	0	1	6	0	0	1	0	0	2	0	0	0	4	1	0	1	0	184
FLIGHT - ESCAPE	7	1	4	0	36	2	0	0	0	11	2	0	0	1	1	0	0	0	0	4	0	1	0	11	12	0	1	0	0	0	0	1	0	1	8	0	2	2	2	4	1	0	4	0	0	39	0	7	0	0	6	1	1	1	174
LIQUOR	21	3	9	0	1	2	2	2	0	5	1	0	0	1	2	0	1	0	7	1	0	3	1	0	5	4	4	0	0	0	0	0	0	1	6	0	7	2	3	5	0	1	3	1	2	16	0	1	0	20	7	0	1	0	151
LICENSING - REGISTRATION WEAPON	1	0	0	0	53	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	1	0	3	0	0	15	0	0	14	0	0	0	29	1	0	0	0	0	0	0	1	8	0	0	0	0	1	0	1	0	0	0	0	133
INVASION OF PRIVACY	1	1	5	0	6	5	0	0	0	17	25	0	0	0	1	1	0	3	0	1	2	2	0	4	0	4	7	0	0	0	0	0	0	1	4	0	4	0	2	2	0	0	0	0	1	7	0	3	1	6	3	0	2	0	121
SMUGGLING	2	0	11	0	15	0	0	0	0	10	2	0	0	0	0	0	1	0	2	0	0	1	2	2	0	0	0	0	0	27	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	18	0	0	0	12	0	0	0	0	108
VIOLATION OF A COURT ORDER	0	0	17	0	14	8	0	0	0	9	12	0	0	0	0	0	0	0	3	2	0	3	0	0	3	0	2	0	0	0	0	2	0	2	1	0	1	0	0	12	0	1	0	0	1	4	0	1	0	3	5	0	2	0	108
VICE CRIMES	0	1	8	1	9	3	0	0	0	6	12	0	0	0	2	0	1	0	0	8	0	4	0	0	2	0	4	0	0	0	0	0	1	2	5	0	4	0	2	2	0	0	1	0	9	17	0	0	0	2	0	0	0	0	106
SOVEREIGNTY	1	0	0	0	5	1	0	0	0	11	0	0	0	0	3	2	1	0	1	2	0	0	1	0	2	0	0	0	3	2	0	3	0	1	47	0	1	0	0	1	0	1	0	0	1	3	0	1	4	4	0	0	1	0	103
ARSON	0	1	8	0	4	0	0	0	0	7	1	0	0	0	3	0	0	1	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	22	5	0	7	3	0	2	0	0	1	0	0	2	0	0	0	0	0	0	1	0	73
CIVIL RIGHTS	0	0	14	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	4	0	0	0	66
BRIBERY	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	15	0	0	4	0	0	1	1	0	0	0	0	0	0	0	0	13	0	0	0	0	60
EXPLOSIVES - POSSESSING	0	0	1	0	7	0	1	0	0	7	0	0	0	0	7	1	0	1	0	0	0	7	0	3	0	0	4	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	3	4	0	0	0	56
OBSCENITY	1	4	0	0	2	0	0	0	0	13	0	0	1	0	0	3	0	0	1	1	0	1	0	9	0	0	1	0	0	3	0	0	0	3	0	0	4	0	0	2	1	0	0	0	0	0	0	0	0	1	4	1	0	0	56
INTERNATIONAL TRAFFICKING CRIME	0	0	27	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55
GAMBLING	0	0	0	0	5	0	0	0	0	0	1	0	0	0	1	2	0	1	0	3	0	0	0	4	1	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	17	0	0	0	0	1	0	0	0	42
MILITARY	0	0	0	0	3	2	0	0	1	1	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	10	0	2	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	35
THREAT TO BOMB	0	0	0	0	22	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	30
MORALS - DECENCY CRIMES	0	0	0	0	9	1	0	0	0	3	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	25
EXTORTION	0	0	4	0	3	0	0	0	0	0	1	0	0	0	4	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	1	0	0	0	23
HOMICIDE - NEGLIG MANSL - VEH	0	3	0	0	3	0	0	0	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	2	0	0	0	19
FORGERY	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	11
ELECTION LAWS	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6
EXPLOSIVES - TRANSPORTING	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ABORTION	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
EXPLOSIVES - TEACHING USE	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
EXPLOSIVES - USING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4
INCENDIARY DEVICE - USING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
THREAT TO BURN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3
INCENDIARY DEVICE - POSSESS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
